Sequence_ID	Predicted_Label
SenT235.08.g455	B
SenT235.08.g191	B
SenT235.08.g468	B
PFKE06.g314	B
PFKE06.g115	C
PFKE06.g239	B
PfKE03.g273	A
PfKE03.g274	B
PfKE03.g377	E
PfKE03.g2	E
PfKE03.g328	B
PfKE03.g329	C
PfKE03.g6	A
PfKE03.g9	A
PfKE03.g3	A
PfKE03.g67	B
PfKE03.g8	B
PfKE03.g469	A
PfKE03.g5	C
PfKE03.g323	A
PfKE03.g309	C
PfKE03.g272	B
PfKE03.g324	B
PfKE03.g327	B
PfKE03.g7	B
PfKE03.g10	A
PfKE03.g13	B
PfKE03.g177	B
PfKE03.g118	B
PfKE03.g276	C
PfKE03.g325	B
PfKE03.g569	C
PfKE03.g242	B
PfKE03.g12	B
PfKE03.g286	B
PfKE03.g322	C
PfKE03.g277	B
PfKE03.g381	C
PfKE03.g326	C
PfKE03.g330	B
PfKE03.g332	C
PfKE03.g333	B
PfKE03.g21	C
PfKE03.g275	B
PfKE03.g331	C
PfKE03.g14	B
PfKE03.g16	B
PfKE03.g18	B
PfKE03.g280	B
PfKE03.g20	B
PfKE03.g170	A
PfKE03.g15	B
PfKE03.g17	B
PfKE03.g341	B
PfKE03.g344	B
PfKE03.g19	B
PfKE03.g11	E
PfKE03.g334	B
PfKE03.g342	B
PfKE03.g278	C
PfKE03.g515	C
PfKE03.g281	B
PfKE03.g43	B
PfKE03.g35	A
PfKE03.g63	C
PFKE07.g1059	E
PFKE07.g1073	A
PFKE07.g750	B
PFKE07.g202	B
PFKE07.g226	B
PFKE07.g255	A
PFKE07.g297	A
PFKE07.g322	A
PFKE07.g367	A
PFKE07.g615	A
PFKE07.g60	A
PFKE07.g407	A
PFKE07.g118	C
PFKE07.g424	B
PFKE07.g550	A
PFKE07.g569	A
PFKE07.g597	A
PFKE07.g641	A
PFKE07.g667	A
PFKE07.g613	A
PFKE07.g26	A
PFKE07.g692	A
PFKE07.g800	C
PFKE07.g779	B
PFKE07.g790	A
PFKE07.g145	E
PFKE07.g853	A
PFKE07.g874	A
PFKE07.g73	B
PFKE07.g901	B
PFKE07.g932	C
PFKE07.g940	B
PFKE07.g955	C
PFKE07.g996	B
PFKE07.g1002	B
PFKE07.g1065	B
PFKE07.g1023	B
PFKE07.g1035	B
PH0055-C.g12	A
PH0059-C.g436	A
PH0059-C.g557	B
PH0059-C.g37	B
PH0059-C.g23	A
PH0059-C.g52	B
PH0059-C.g474	A
PH0059-C.g84	A
PH0059-C.g96	E
PH0059-C.g109	B
PH0059-C.g140	B
PH0059-C.g152	B
PH0059-C.g213	B
PH0059-C.g226	B
PH0059-C.g257	B
PH0059-C.g267	A
PH0059-C.g281	A
PH0059-C.g312	A
PH0059-C.g322	B
PH0059-C.g529	C
PH0059-C.g346	B
PH0059-C.g362	A
PH0059-C.g371	A
PH0059-C.g389	B
PH0059-C.g407	B
PH0059-C.g419	C
PH0059-C.g424	C
PH0059-C.g1	C
PH0059-C.g154	C
PH0059-C.g425	C
PH0059-C.g282	B
PH0059-C.g153	C
PH0059-C.g428	B
PH0059-C.g434	B
PH0059-C.g397	B
PH0059-C.g437	C
PH0059-C.g438	B
PH0059-C.g444	B
PH0059-C.g445	B
PH0059-C.g446	B
PH0059-C.g447	B
PH0059-C.g448	B
PH0059-C.g418	B
PH0059-C.g463	B
PH0059-C.g469	B
PH0059-C.g468	B
PH0059-C.g490	B
PH0059-C.g505	B
PH0059-C.g517	B
PH0059-C.g528	C
PH0059-C.g443	B
PH0059-C.g539	B
PH0059-C.g487	B
PH0059-C.g441	B
PH0059-C.g550	B
PH0059-C.g553	B
PH0059-C.g456	B
PH0114-C.g1	E
PH0114-C.g2	A
PH0114-C.g3	C
PH0114-C.g4	A
PH0114-C.g6	B
PH0114-C.g7	B
PH0114-C.g8	B
PH0114-C.g9	A
PH0114-C.g10	A
PH0114-C.g11	B
PH0114-C.g12	B
PH0114-C.g13	B
PH0114-C.g15	A
PH0114-C.g14	A
PH0114-C.g16	A
PH0114-C.g17	B
PH0114-C.g18	B
PH0114-C.g19	B
PH0114-C.g21	B
PH0114-C.g22	C
PH0114-C.g26	B
PH0114-C.g27	B
PH0114-C.g28	B
PH0114-C.g29	A
PH0114-C.g30	B
PH0114-C.g31	A
PH0114-C.g32	C
PH0114-C.g33	B
PH0114-C.g34	B
PH0114-C.g42	C
PH0117-C.g1	A
PH0117-C.g2	A
PH0117-C.g3	E
PH0117-C.g5	A
PH0117-C.g6	B
PH0117-C.g7	C
PH0117-C.g8	B
PH0117-C.g9	A
PH0117-C.g10	B
PH0117-C.g11	B
PH0117-C.g12	B
PH0117-C.g13	B
PH0117-C.g14	A
PA0084-C.g660	B
PA0084-C.g670	C
PA0084-C.g512	C
PA0084-C.g692	B
PA0084-C.g704	B
PA0084-C.g680	C
PA0084-C.g112	B
PA0084-C.g729	B
PA0084-C.g716	B
PA0084-C.g748	A
PA0084-C.g739	B
PA0084-C.g766	B
PA0084-C.g756	B
PA0084-C.g776	B
PA0084-C.g801	B
PA0084-C.g810	B
PA0084-C.g539	A
PA0084-C.g783	B
PA0084-C.g794	B
PA0084-C.g821	B
PA0084-C.g832	B
PA0084-C.g859	B
PA0084-C.g867	B
PA0084-C.g872	B
PA0084-C.g906	B
PA0084-C.g850	B
PA0084-C.g878	B
PA0084-C.g891	B
PA0084-C.g899	C
PA0084-C.g932	B
PA0084-C.g938	B
PA0084-C.g918	B
PA0084-C.g926	B
PA0084-C.g945	B
PA0084-C.g944	A
PA0084-C.g949	B
PA0084-C.g164	B
PA0084-C.g951	B
PA0084-C.g952	B
PA0084-C.g950	B
PA0084-C.g955	B
PA0084-C.g953	B
PA0084-C.g954	B
PA0084-C.g635	B
PA0084-C.g5	B
PA0084-C.g9	B
PA0084-C.g6	B
PA0084-C.g14	B
PA0084-C.g19	B
PA0084-C.g20	B
PA0084-C.g21	C
PA0084-C.g26	A
PA0084-C.g42	E
PA0084-C.g29	B
PA0084-C.g595	E
PA0084-C.g76	B
PA0084-C.g80	C
PA0084-C.g165	B
PA0084-C.g84	B
PA0084-C.g99	A
PA0084-C.g107	C
PA0084-C.g130	B
PA0084-C.g134	B
PA0084-C.g135	C
PA0084-C.g838	B
PA0084-C.g155	B
PA0084-C.g147	B
PA0084-C.g154	B
PA0084-C.g60	B
PA0084-C.g163	B
PA0084-C.g170	B
PA0084-C.g172	E
PA0085-C.g143	A
PA0085-C.g488	A
PA0085-C.g560	A
PA0085-C.g578	C
PA0085-C.g595	A
PA0085-C.g615	A
PA0085-C.g616	B
PA0085-C.g631	B
PA0085-C.g13	B
PA0085-C.g25	B
PA0085-C.g38	B
PA0085-C.g67	A
PA0085-C.g85	B
PA0085-C.g155	C
PA0085-C.g169	B
PA0085-C.g182	A
PA0085-C.g193	A
PA0085-C.g205	B
PA0085-C.g218	B
PA0085-C.g242	B
PA0085-C.g254	B
PA0085-C.g280	B
PA0085-C.g292	B
PA0085-C.g316	B
PA0085-C.g338	B
PA0085-C.g349	C
PA0085-C.g129	A
PA0085-C.g360	A
PD0509-Cx2.g318	B
PD0509-Cx2.g880	B
PD0509-Cx2.g516	A
PD0509-Cx2.g156	B
PD0509-Cx2.g811	A
PD0509-Cx2.g838	B
PD0509-Cx2.g165	A
PD0509-Cx2.g787	B
PD0509-Cx2.g928	A
PD0509-Cx2.g594	B
PD0509-Cx2.g991	B
PD0510-C.g232	E
PD0510-C.g785	A
PD0510-C.g834	A
PD0510-C.g807	A
PD0510-C.g51	B
PD0510-C.g73	A
PD0510-C.g27	A
PD0510-C.g133	A
PD0510-C.g149	B
PD0510-C.g444	B
PD0510-C.g483	C
PD0510-C.g284	A
PD0510-C.g211	A
PD0510-C.g296	B
PD0510-C.g323	B
PD0510-C.g169	C
PD0510-C.g369	B
PD0510-C.g382	B
PD0510-C.g433	B
PD0510-C.g416	B
PD0510-C.g467	B
PD0510-C.g506	B
PD0510-C.g524	B
PD0510-C.g539	B
PD0510-C.g494	C
PD0510-C.g548	B
PD0510-C.g561	B
PD0510-C.g610	B
PD0510-C.g570	B
PD0510-C.g595	B
PD0510-C.g646	B
PD0510-C.g659	B
PD0510-C.g664	B
PD0510-C.g684	B
PD0510-C.g691	C
PD0510-C.g701	B
PD0510-C.g725	B
PD0510-C.g717	B
PD0510-C.g730	B
PD0510-C.g762	A
PD0510-C.g788	B
PD0510-C.g784	C
PD0510-C.g792	C
PD0510-C.g779	B
PD0510-C.g808	C
PD0510-C.g773	A
PD0510-C.g832	C
PD0510-C.g839	B
PD0510-C.g453	B
PD0510-C.g36	C
PD0510-C.g37	C
PD0510-C.g60	C
PD0510-C.g125	B
PD0511-C.g801	A
PD0511-C.g116	B
PD0511-C.g181	B
PD0511-C.g166	B
PD0511-C.g193	B
PD0511-C.g708	A
PD0511-C.g583	B
PD0511-C.g75	E
PD0511-C.g236	B
PD0511-C.g138	A
PD0511-C.g262	A
PD0511-C.g277	B
PD0511-C.g289	B
PD0511-C.g350	A
PD0511-C.g363	A
PD0511-C.g377	A
PD0511-C.g249	B
PD0511-C.g393	B
PD0511-C.g439	B
PD0511-C.g453	B
PD0511-C.g467	A
PD0511-C.g563	A
PD0511-C.g591	C
PD0511-C.g644	C
PD0511-C.g515	C
PD0511-C.g649	B
PD0511-C.g656	C
PD0511-C.g643	C
PD0511-C.g702	C
PD0511-C.g735	B
PD0511-C.g729	B
PD0511-C.g707	B
PD0511-C.g738	B
PD0511-C.g737	B
PD0511-C.g739	B
PD0511-C.g741	B
PC0023-C.g8	B
PC0023-C.g19	B
PC0023-C.g35	B
PC0023-C.g46	B
PC0023-C.g55	B
PC0025-C.g2	A
PC0025-C.g13	A
PC0025-C.g25	E
PC0025-C.g17	B
PC0025-C.g8	A
PC0025-C.g10	B
PC0025-C.g28	A
PC0025-C.g19	B
PC0025-C.g3	A
PC0025-C.g1	B
PC0025-C.g4	B
PC0025-C.g6	B
PC0025-C.g5	B
PC0025-C.g22	A
PC0025-C.g46	B
PC0025-C.g11	B
PC0025-C.g31	A
PC0025-C.g7	B
PC0025-C.g51	B
PC0025-C.g32	A
PC0025-C.g41	B
PC0025-C.g24	B
PC0025-C.g18	C
PC0025-C.g15	B
PC0025-C.g14	B
PC0025-C.g21	A
PC0025-C.g23	B
PC0025-C.g38	A
PC0025-C.g58	B
PC0025-C.g9	B
PC0025-C.g27	B
PC0025-C.g16	A
PC0026-C.g9	B
PC0026-C.g12	A
PC0026-C.g23	B
PC0026-C.g7	C
PC0026-C.g2	B
PC0026-C.g4	B
PC0026-C.g1	B
PC0026-C.g10	A
PC0026-C.g11	A
PC0026-C.g3	B
PC0026-C.g14	A
PC0026-C.g22	A
PC0026-C.g24	B
PC0026-C.g18	B
PC0026-C.g65	E
PC0026-C.g45	B
PC0026-C.g33	B
PC0026-C.g51	A
PC0026-C.g107	B
PC0026-C.g13	B
PC0026-C.g21	B
PC0026-C.g5	C
PC0026-C.g6	B
PC0026-C.g46	B
PC0026-C.g17	B
PC0026-C.g19	B
PC0026-C.g25	B
PC0026-C.g34	A
PC0026-C.g26	B
PC0026-C.g16	C
PC0026-C.g48	B
PC0030-C.g17	B
PC0030-C.g12	B
PC0030-C.g39	A
PC0030-C.g2	A
PC0030-C.g7	A
PC0030-C.g5	A
PC0030-C.g116	B
PC0030-C.g8	B
PC0030-C.g9	A
PC0030-C.g13	A
PC0030-C.g21	A
PC0030-C.g251	B
PC0030-C.g81	B
PC0030-C.g1	B
PC0030-C.g214	C
PC0030-C.g117	B
PC0030-C.g15	A
PC0030-C.g138	B
PC0030-C.g29	C
PC0031-C.g8	B
PC0031-C.g4	A
PC0031-C.g5	B
PC0031-C.g16	B
PC0031-C.g9	B
PC0031-C.g34	E
PC0031-C.g7	C
PC0031-C.g72	B
PC0031-C.g64	B
PC0031-C.g2	C
PC0031-C.g169	B
PC0032-C.g7	B
PC0032-C.g1	B
PM0021-C.g949	A
PM0021-C.g909	B
PM0021-C.g963	B
PM0021-C.g1026	B
PM0021-C.g1084	C
PM0021-C.g1094	B
PM0021-C.g1172	B
PM0021-C.g1260	B
PM0021-C.g1267	B
PM0021-C.g121	C
PM0021-C.g611	A
PM0021-C.g1313	C
PM0021-C.g523	B
PM0021-C.g417	B
PM0021-C.g1362	B
PM0021-C.g1384	C
PM0021-C.g1431	C
PM0021-C.g566	C
PM0021-C.g1435	B
PM0021-C.g1436	B
PM0021-C.g9	C
PM0021-C.g18	B
PM0021-C.g33	A
PM0021-C.g42	C
PM0021-C.g748	B
PM0021-C.g993	B
PM0021-C.g88	B
PM0021-C.g884	B
PM0021-C.g973	B
PM0024-C.g79	B
PM0024-C.g834	A
PM0024-C.g947	A
PM0024-C.g711	B
PM0024-C.g15	A
PM0024-C.g39	A
PM0024-C.g238	B
PM0024-C.g470	A
PM0024-C.g60	B
PM0024-C.g686	B
PM0024-C.g1019	A
PM0024-C.g179	A
PM0024-C.g1021	A
PM0024-C.g119	B
PM0024-C.g157	B
PM0024-C.g141	C
PM0024-C.g869	B
PM0024-C.g226	B
PM0024-C.g256	B
PM0024-C.g306	B
PM0024-C.g589	A
PM0024-C.g44	B
PM0024-C.g346	B
PM0024-C.g910	A
PM0024-C.g184	E
PM0024-C.g776	B
PM0024-C.g94	B
PM0024-C.g53	B
PM0024-C.g384	B
PM0024-C.g373	A
PM0024-C.g73	B
PM0024-C.g397	B
PM0024-C.g409	B
